 271
0.44	1.57968	1.17463	1.01966	1.00731	1.21718
0.45	1.5799	1.1779	1.02157	1.00574	1.20247
0.46	1.58011	1.18117	1.02354	1.00438	1.18852
0.47	1.58031	1.18443	1.02557	1.00321	1.17531
0.48	1.5805	1.18768	1.02766	1.00225	1.16279
0.49	1.58068	1.19091	1.0298	1.00146	1.15095
0.5	1.58086	1.19414	1.032	1.00085	1.13975
0.51	1.58103	1.19735	1.03425	1.00041	1.12917
0.52	1.58119	1.20056	1.03655	1.00013	1.11917
0.53	1.58134	1.20375	1.0389	1.00001	1.10974
0.54	1.58149	1.20693	1.04129	1.00003	1.10085
0.55	1.58162	1.21009	1.04372	1.0002	1.09248
0.56	1.58175	1.21325	1.0462	1.0005	1.0846
0.57	1.58188	1.21639	1.04871	1.00093	1.0772
0.58	1.58199	1.21952	1.05126	1.00149	1.07025
0.59	1.5821	1.22264	1.05385	1.00217	1.06374
0.6	1.5822	1.22574	1.05648	1.00296	1.05764
0.61	1.5823	1.22884	1.05913	1.00387	1.05194
0.62	1.58239	1.23192	1.06182	1.00488	1.04663
0.63	1.58247	1.23498	1.06454	1.00599	1.04168
0.64	1.58254	1.23804	1.06729	1.00719	1.03708
0.65	1.58261	1.24108	1.07007	1.00849	1.03282
0.66	1.58267	1.2441	1.07287	1.00988	1.02888
0.67	1.58273	1.24712	1.0757	1.01135	1.02525
0.68	1.58278	1.25012	1.07856	1.01291	1.02191
0.69	1.58282	1.2531	1.08144	1.01454	1.01886
0.7	1.58286	1.25608	1.08434	1.01625	1.01608
0.71	1.5829	1.25904	1.08726	1.01802	1.01356
0.72	1.58292	1.26198	1.0902	1.01987	1.01128
0.73	1.58295	1.26491	1.09317	1.02179	1.00925
0.74	1.58297	1.26783	1.09615	1.02376	1.00744
0.75	1.58298	1.27073	1.09915	1.0258	1.00586
0.76	1.58299	1.27362	1.10217	1.0279	1.00448
0.77	1.583	1.2765	1.1052	1.03005	1.0033
0.78	1.583	1.27936	1.10826	1.03225	1.00232
0.79	1.583	1.28221	1.11132	1.03451	1.00152
0.8	1.583	1.28504	1.1144	1.03681	1.00089
0.81	1.583	1.28786	1.1175	1.03916	1.00044
0.82	1.583	1.29067	1.12061	1.04156	1.00015
0.83	1.583	1.29346	1.12373	1.04399	1.00001
0.84	1.583	1.29623	1.12687	1.04647	1.00003
0.85	1.583	1.29899	1.13001	1.04899	1.00018
0.86	1.583	1.30174	1.13317	1.05155	1.00047
0.87	1.583	1.30448	1.13634	1.05414	1.00089
0.88	1.583	1.30719	1.13952	1.05677	1.00144
0.89	1.583	1.3099	1.14271	1.05943	1.00211
0.9	1.583	1.31259	1.14591	1.06212	1.0029
0.91	1.583	1.31526	1.14912	1.06485	1.00379
0.92	1.583	1.31792	1.15233	1.0676	1.00479
0.93	1.583	1.32057	1.15556	1.07038	1.00589
0.94	1.583	1.3232	1.15879	1.07319	1.00709
0.95	1.583	1.32582	1.16203	1.07602	1.00838
0.96	1.583	1.32842	1.16528	1.07888	1.00976
0.97	1.583	1.33101	1.16854	1.08176	1.01123
0.98	1.583	1.33358	1.1718	1.08466	1.01278
0.99	1.583	1.33614	1.17507	1.08759	1.0144
1	1.583	1.33869	1.17834	1.09053	1.0161
1.01	1.583	1.34122	1.18161	1.0935	1.01788
1.02	1.583	1.34373	1.18487	1.09648	1.01972
1.03	1.583	1.34623	1.18811	1.09949	1.02163
1.04	1.583	1.34872	1.19135	1.10251	1.0236
1.05	1.583	1.35119	1.19457	1.10554	1.02563
1.06	1.583	1.35365	1.19779	1.1086	1.02772
1.07	1.583	1.35609	1.20099	1.11166	1.02987
1.08	1.583	1.35852	1.20418	1.11475	1.03207
1.09	1.583	1.36093	1.20735	1.11785	1.03432
1.1	1.583	1.36333	1.21052	1.12096	1.03662
1.11	1.583	1.36572	1.21367	1.12408	1.03897
1.12	1.583	1.36809	1.21681	1.12722	1.04136
1.13	1.583	1.37044	1.21994	1.13036	1.04379
1.14	1.583	1.37278	1.22306	1.13352	1.04627
1.15	1.583	1.37511	1.22616	1.13669	1.04879
1.16	1.583	1.37742	1.22925	1.13987	1.05134
1.17	1.583	1.37972	1.23233	1.14306	1.05393
1.18	1.583	1.382	1.2354	1.14626	1.05655
1.19	1.583	1.38427	1.23845	1.14947	1.05921
1.2	1.583	1.38652	1.24149	1.15269	1.0619
1.21	1.583	1.38876	1.24451	1.15592	1.06462
1.22	1.583	1.39099	1.24752	1.15915	1.06737
1.23	1.583	1.3932	1.25052	1.16239	1.07015
1.24	1.583	1.39539	1.25351	1.16564	1.07296
1.25	1.583	1.39758	1.25648	1.1689	1.07579
1.26	1.583	1.39974	1.25943	1.17216	1.07864
1.27	1.583	1.4019	1.26238	1.17543	1.08152
1.28	1.583	1.40404	1.26531	1.17871	1.08442
1.29	1.583	1.40616	1.26822	1.18197	1.08735
1.3	1.583	1.40827	1.27113	1.18523	1.09029
1.31	1.583	1.41037	1.27401	1.18847	1.09326
1.32	1.583	1.41245	1.27689	1.19171	1.09624
1.33	1.583	1.41451	1.27975	1.19493	1.09924
1.34	1.583	1.41657	1.28259	1.19814	1.10226
1.35	1.583	1.41861	1.28542	1.20134	1.1053
1.36	1.583	1.42063	1.28824	1.20453	1.10835
1.37	1.583	1.42264	1.29104	1.20771	1.11141
1.38	1.583	1.42464	1.29383	1.21087	1.1145
1.39	1.583	1.42662	1.29661	1.21402	1.11759
1.4	1.583	1.42859	1.29937	1.21716	1.1207
1.41	1.583	1.43054	1.30211	1.22029	1.12382
1.42	1.583	1.43248	1.30484	1.22341	1.12696
1.43	1.583	1.43441	1.30756	1.22651	1.13011
1.44	1.583	1.43632	1.31026	1.2296	1.13327
1.45	1.583	1.43822	1.31295	1.23267	1.13643
